Exposure,LicAge,VehAge,Gender,MariStat,SocioCateg,VehUsage,DrivAge,HasKmLimit,BonusMalus,VehBody,VehPrice,VehEngine,VehEnergy,VehMaxSpeed,VehClass,RiskVar,Garage
0.833,430,1,Male,Other,CSP42,Professional run,57,0,50,sedan,Q,direct injection overpowered,diesel,9,M2,12,Collective garage
0.749,292,4,Male,Other,CSP50,Professional,42,0,50,sedan,I,injection,regular,6,M1,18,None
0.833,372,5,Male,Other,CSP42,Professional,49,0,50,microvan,N,injection,regular,5,H,16,None
0.749,154,6,Male,Other,CSP50,Private+trip to office,31,0,68,sport utility vehicle,L,injection,regular,4,M2,5,Collective garage
0.073,143,5,Female,Other,CSP50,Private+trip to office,33,1,100,microvan,N,injection,regular,5,H,16,Collective garage
1.0,633,2,Male,Other,CSP60,Private,81,0,50,sedan,J,injection,regular,6,M1,16,Private garage
0.579,186,3,Female,Other,CSP50,Private,37,0,95,station wagon,C,injection,regular,2,A,16,None
0.416,179,1,Male,Other,CSP50,Private+trip to office,34,0,68,bus,L,direct injection overpowered,diesel,6,M1,15,None
0.678,411,2,Female,Other,OTHER,Professional,72,0,50,cabriolet,H,injection overpowered,regular,1,A,8,Private garage
0.194,165,4,Male,Alone,CSP50,Private,34,0,72,sedan,H,injection,regular,5,M1,18,None
0.364,533,5,Male,Other,CSP60,Private,62,0,50,other microvan,L,direct injection overpowered,diesel,5,M1,15,None
0.496,205,2,Female,Other,CSP50,Private+trip to office,37,0,54,sedan,G,injection,regular,6,B,17,Private garage
0.681,297,4,Female,Other,CSP50,Private,48,0,62,sedan,F,injection,regular,2,A,20,None
0.784,143,3,Male,Other,CSP48,Private+trip to office,38,0,64,sedan,H,direct injection overpowered,diesel,5,M1,11,None
0.833,488,8,Male,Other,CSP46,Professional,62,0,81,van,G,injection,diesel,4,M1,20,None
0.815,280,1,Male,Other,CSP50,Private+trip to office,50,0,85,coupe,N,direct injection overpowered,diesel,8,M2,14,None
0.695,133,5,Female,Alone,CSP50,Professional,30,0,64,sedan,E,injection,regular,3,B,12,None
0.583,175,1,Male,Alone,CSP50,Private,32,0,60,sedan,L,direct injection overpowered,diesel,7,M1,12,None
0.5,420,0,Male,Other,CSP1,Professional,53,0,50,coupe,P,injection,regular,9,M2,15,Private garage
0.833,315,0,Female,Other,CSP50,Private,52,0,100,sedan,F,injection,regular,4,A,16,None
0.631,171,2,Male,Other,CSP55,Professional,33,0,52,other microvan,O,injection,regular,6,H,15,None
0.749,256,6,Male,Other,CSP55,Private+trip to office,39,0,106,station wagon,I,injection,diesel,3,M1,20,None
0.735,430,1,Male,Other,CSP46,Professional,54,0,62,van,H,injection,diesel,1,0,17,None
0.628,311,2,Male,Other,CSP1,Professional,44,0,57,sedan,L,injection,regular,6,0,18,Private garage
0.583,238,8,Female,Other,CSP50,Private+trip to office,38,0,80,sedan,F,injection,regular,4,B,17,None
0.243,52,5,Female,Alone,CSP26,Private+trip to office,23,0,100,sedan,E,injection,regular,3,B,16,None
0.499,162,5,Male,Alone,CSP50,Private+trip to office,37,0,76,sedan,D,injection,regular,3,A,20,None
0.611,133,1,Male,Alone,CSP66,Private+trip to office,29,0,76,sedan,L,direct injection overpowered,diesel,8,M1,16,None
0.458,257,0,Male,Alone,CSP55,Private+trip to office,40,0,100,sedan,F,injection,regular,3,B,13,Collective garage
0.708,391,3,Female,Other,CSP50,Private+trip to office,50,0,62,sedan,E,injection,regular,4,B,15,None
0.833,431,4,Female,Other,CSP60,Private,66,0,50,sedan,L,injection,regular,8,M2,12,None
0.416,53,4,Male,Other,CSP46,Professional,52,0,95,sedan,E,injection,regular,2,A,14,Private garage
0.249,211,4,Female,Other,CSP50,Private,47,0,50,sedan,K,injection,regular,6,M1,15,None
